5 0
4.96057 0.626666
4.84292 1.24345
4.64888 1.84062
4.38153 2.40877
4.04509 2.93892
3.64485 3.42273
3.18712 3.85256
2.67914 4.22164
2.1289 4.52413
1.54509 4.75528
0.936912 4.91144
0.313959 4.99013
-0.313946 4.99013
-0.936899 4.91144
-1.54508 4.75529
-2.12889 4.52414
-2.67913 4.22164
-3.18711 3.85257
-3.64484 3.42274
-4.04508 2.93893
-4.38153 2.40878
-4.64888 1.84063
-4.84291 1.24346
-4.96057 0.626679
-5 1.32679e-005
-4.96058 -0.626652
-4.84292 -1.24344
-4.64889 -1.84061
-4.38154 -2.40875
-4.04509 -2.93891
-3.64485 -3.42272
-3.18713 -3.85256
-2.67915 -4.22163
-2.12891 -4.52413
-1.5451 -4.75528
-0.936925 -4.91143
-0.313972 -4.99013
0.313932 -4.99013
0.936886 -4.91144
1.54506 -4.75529
2.12888 -4.52414
2.67912 -4.22165
3.1871 -3.85258
3.64483 -3.42275
4.04507 -2.93895
4.38152 -2.40879
4.64887 -1.84065
4.84291 -1.24347
4.96057 -0.626692
5 -2.65359e-005
